word, sentences,english_meaning
"die Linie, -n",Zum Hauptbahnhof können Sie mit der Linie 8 fahren.,the line
links,"1. An der Kreuzung müssen Sie nach links abbiegen.
2. Gehen Sie die nächste Straße links.",left
link-,"1. Er hat sich das linke Bein gebrochen.
2. Das Haus ist auf der linken Seite.",link-
"die Lippe, -n",Es ist sehr kalt. Meine Lippen sind ganz trocken.,the lip
"die Liste, -n",Was brauchen wir für die Party? – Mach doch eine Einkaufsliste.,the list
die Literatur,Ich interessiere mich für Literatur.,the literature
"loben, lobt, lobte, hat gelobt",Ich habe alle Hausaufgaben gemacht. Der Lehrer hat mich heute gelobt.,praise
"das Loch, ¨-er","1. Ich habe ein Loch im Zahn. Ich muss zum Zahnarzt.
2. Deine Hose hat ein Loch. – Ich weiß, sie ist schon alt.",the hole
locker,Lassen Sie bitte die Arme ganz locker und atmen Sie tief ein.,loose
"der Löffel, -","Bitte, bringen Sie mir einen Löffel.",the spoon
"der Lohn, ¨-e","1. Sie bekommen Ihren Lohn immer am Ende des Monats.
2. Die Löhne sind hier sehr niedrig.",the wages
"sich lohnen, lohnt sich, lohnte sich, hat sich gelohnt",Für drei Tage zu meinen Eltern fahren lohnt sich nicht. Es ist zu weit.,be worthwhile
"das Lokal, -e",Gibt es hier in der Nähe ein gemütliches Lokal?,the local
los/los-,"1. Los! Beeilt euch!
2. Gibt es ein Problem? Was ist denn los?
3. Achtung – fertig – los!",go Go-
"losfahren, fährt los, fuhr los, ist losgefahren",Wir fahren um 8 Uhr los. Sei bitte pünktlich.,drive off
"löschen, löscht, löschte, hat gelöscht","1. Du kannst die Datei löschen. Ich brauche sie nicht mehr.
2. Das Feuer wurde schnell gelöscht.",delete
"lösen, löst, löste, hat gelöst","1. Wir müssen dieses Problem lösen.
2. Sie können die Fahrkarten auch am Automaten lösen.",solve
"die Lösung, -en","1. Wir fahren alle zusammen mit dem Zug. Das ist die beste Lösung.
2. Die Aufgabe ist nicht schwer. Die Lösung ist ganz einfach.",the solution
die Luft,"1. Oh, hier ist aber schlechte Luft.
2. Die Seeluft tut mir gut.
3. Bitte mach das Fenster auf. Ich brauche frische Luft.",the air
"lügen, lügt, log, hat gelogen","1. Du sollst nicht lügen.
2. Glaube nicht alles, was man dir sagt. Es ist oft gelogen.",lie
"die Lüge, -n",Das ist eine Lüge!,the lie
die Lust,"1. Ich habe keine Lust zu grillen.
2. Hast du Lust auf einen Tee?",the lust
lustig,"1. Ich habe einen lustigen Film gesehen.
2. Mir ist heute etwas Lustiges passiert.",funny
"machen, macht, machte, hat gemacht","1. Was machst du am Wochenende?
2. Ich muss jetzt das Essen machen.
3. Ich habe die Betten noch nicht gemacht.
4. Soll ich dir die Suppe noch einmal warm machen?
5. Meine Arbeit macht mir viel Spaß.
6. Mach dir bitte keine Sorgen.
7. Was würden Sie an meiner Stelle machen?
8. Tut mir leid. Die Küche hat schon geschlossen. – Da kann man nichts machen.
9. Entschuldigung! – Das macht doch nichts.
10. Das macht zusammen 20 Euro.",make
"das Mädchen, -",Familie Kurz hat zwei Mädchen und einen Jungen.,the girl
"das Magazin, -e",Jugendliche lesen dieses Magazin gern.,the magazine
"der Magen, ¨-",Mit tut der Magen weh. Ich habe Magenschmerzen.,the stomach
mager,Bitte 1 kg mageres Fleisch.,lean
"die Mahlzeit, -en","1. Die Tropfen bitte immer nach den Mahlzeiten einnehmen.
2. In Deutschland gibt es meist nur einmal am Tag eine warme Mahlzeit.",the meal
"die Mahnung, -en","Wenn du die Rechnung nicht pünktlich bezahlst, bekommst du eine Mahnung.",the reminder
mal,(siehe einmal),just
"das Mal, -e","1. Das machen wir nächstes Mal.
2. Das erste Mal war ich vor fünf Jahren in England.
3. Bis zum nächsten Mal.",the time
"malen, malt, malte, hat gemalt",Das Bild hat mein Vater gemalt.,paint
"der Maler, -
die Malerin, -nen","1. Wir haben die Maler im Haus. Wir lassen die Wände neu streichen.
2. Picasso ist vielleicht der bekannteste Maler der Welt.",the painter
man,"1. Wie schreibt man das?
2. Hier darf man nicht parken.",man
manch-,"1. Manche Nachbarn sind unfreundlich.
2. An manchen Tagen ist das Zugfahren billiger.",some-
manchmal,"1. Manchmal gehe ich mit meiner Frau ins Café.
2. Rauchen Sie? – Manchmal.",sometimes
"der Mangel, ¨-","1. In dieser Stadt gibt es einen großen Mangel an Wohnungen.
2. Die Maschine hat technische Mängel.",the lack
"der Mann, ¨-er","1. In unserer Firma arbeiten fast nur Männer.
2. Mein Mann arbeitet bei der Post.",the man
männlich,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.,masculine
"die Mannschaft, -en",Unsere Mannschaft hat 0:1 verloren.,the team
"der Mantel, ¨-",Es ist sehr kalt. Zieh deinen Mantel an.,the coat
"die Mappe, -n",Mein Pass ist in dieser Mappe.,the folder
"das Märchen, -",Meine Großmutter hat uns viele Märchen erzählt.,the fairy tale
die Margarine,Meine Frau isst nur Margarine und keine Butter.,the margarine
"die Marille, -n (A)
→ D, CH: Aprikose",Schmecken dir die Marillen?,the apricot
"die Marke, -n","1. Ich brauche bitte fünf Briefmarken zu 1 Euro.
2. Markenschuhe sind mir zu teuer.",the brand
"markieren, markiert, markierte, hat markiert",Hier ist unser Hotel. Ich markiere Ihnen auf dem Plan den Weg zum Bahnhof.,mark
"der Markt, ¨-e","1. Ich gehe heute auf den Markt.
2. Mittwochs und samstags ist bei uns Markt.",the market
"die Marmelade, -n (D, A)",Bring bitte noch ein Glas Marmelade mit.,the jam
"die Maschine, -n","1. Ich habe eine neue Kaffeemaschine.
2. Unsere Maschine soll um 7 Uhr 10 starten.",the machine
das Material,Aus welchem Material ist der Schrank? – Aus Holz.,the material
"die Matura (A, CH)
→ D: Abitur",Meine Tocher hat gerade die Matura gemacht.,the Matura (A
"die Mauer, -n",Die Kinder sind über die Mauer geklettert.,the wall
maximal,"1. Wie lange braucht ein Brief? – Maximal zwei Tage.
2. Wie schwer darf der Brief sein? – Maximal 20 g.",maximum
"der Mechaniker, -
die Mechanikerin, -nen","1. Das kann nur ein Mechaniker reparieren.
2. Karim ist Automechaniker. Er arbeitet bei Opel.",the mechanic
die Medien (Pl.),Umweltschutz ist in den Medien ein großes Thema.,the media (pl.)
"das Medikament, -e","1. Dieses Medikament gibt es nur auf Rezept.
2. Der Arzt hat mir ein Medikament verschrieben.
3. Für dieses Medikament müssen Sie fünf Euro dazu zahlen.
4. Dieses Medikament hat mir sehr gut geholfen.",the medication
die Medizin,"1. Du musst noch deine Medizin nehmen.
2. Mein Sohn will Medizin studieren.",the medicine
"das Meer, -e",Wir machen immer Urlaub am Meer.,the sea
das Mehl,Ich möchte einen Kuchen backen. Ist noch genug Mehl da?,the flour
mehr (siehe auch viel),"1. Ich habe diesmal mehr gelernt als bei der letzten Prüfung.
2. Mehr kann ich nicht essen!",more (see also a lot)
mehrere,"1. Ich habe mehrere Leute gefragt. Aber niemand konnte mir helfen.
2. Viele Wörter haben mehrere Bedeutungen.",several
"die Mehrheit, -en",Die Mehrheit der Menschen in Deutschland besitzt ein Handy.,the majority
die Mehrwertsteuer,Die Mehrwertsteuer bei diesem Produkt beträgt 20 %.,the VAT
"meinen, meint, meinte, hat gemeint","1. Dieser Film ist gut. Was meinst du?
2. Ich meine, du solltest weniger rauchen.",mean
meinetwegen,Meinetwegen kannst du heute das Auto haben.,for my sake
"die Meinung, -en","1. Ich bin der Meinung, dass du recht hast.
2. Ich habe meine Meinung geändert.
3. Meiner Meinung nach gibt es hier zu viele Autos.",the opinion
"meist-, die meisten","1. Wie gut kannst du Deutsch? – Das Meiste verstehe ich.
2. Ich bin neu im Haus. Die meisten Nachbarn kenne ich noch nicht.",mostly-
meist(ens),"1. Meistens trinke ich zum Frühstück nur einen Kaffee.
2. Seid ihr am Wochenende zu Hause? – Ja, meistens.",mostly)
"der Meister, -","1. Ich weiß nicht, wie man das macht. – Dann frag doch den Meister.
2. Unsere Mannschaft ist deutscher Meister geworden.",the master
"melden, meldet, meldete, hat gemeldet","1. Ich habe schon zweimal angerufen. Aber es meldet sich niemand.
2. Den Unfall müssen Sie der Versicherung melden.
3. Warum hast du dich so lange nicht gemeldet? Warst du krank?",report
"die Meldung, -en",Hast du die Meldung im Radio gehört? Es wird starken Sturm geben.,the message
"die Menge, -n","1. Diesen Preis gibt es nur, wenn Sie große Mengen kaufen.
2. Wir haben noch eine Menge Zeit.
3. Ich kenne schon eine Menge Leute in der Stadt.
4. Das Auto hat bestimmt eine Menge Geld gekostet.",the amount
"die Mensa, -s/-en",Ich esse fast jeden Tag in der Mensa.,the cafeteria
"der Mensch, -en",Die Menschen sind hier ein bisschen anders als im Süden.,the human being
menschlich,Fehler zu machen ist menschlich.,human
"das Menü, -s","Nimm doch das Menü, das sieht gut aus.",the menu
"merken, merkt, merkte, hat gemerkt","1. Ich habe nicht gemerkt, dass es schon so spät ist. Ich muss gehen.
2. Ich kann mir keine Zahlen merken. Ich vergesse sie sofort wieder.",remember
merkwürdig,Das ist eine merkwürdige Geschichte.,unusual
"die Messe, -n","1. Kommst du mit zur Automobilmesse?
2. Vielleicht kann ich auf der Messe einen Job bekommen.",the fair
"messen, misst, maß, hat gemessen","1. Haben Sie schon Fieber gemessen?
2. Ich habe das Zimmer ausgemessen. Es sind genau 20 m².",measure
"das Messer, -",Das Messer schneidet nicht gut.,the knife
"das Metall, -e",Dieser Tisch hier ist ganz aus Metall.,the metal
"die Methode, -n","Weißt du eine gute Methode, um schnell gut Deutsch zu lernen?",the method
"die Metropole, -n",Berlin und Wien sind Metropolen.,the metropolis
"der Metzger, -
→ A: Fleischhauer",Dieser Metzger hat sehr gute Wurst.,the butcher
"mieten, mietet, mietete, hat gemietet","1. Wir haben die Wohnung für drei Jahre gemietet.
2. Im Urlaub haben wir ein Auto gemietet.",rent
"die Miete, -n","1. Unsere Miete ist sehr hoch.
2. Wie viel Miete bezahlst du?",the rent
"der Mieter, -
die Mieterin, -nen",Sie hat heute neue Mieter für die Wohnung gefunden.,the tenant
"der Migrant, -en
die Migrantin, -nen",Viele Migranten kommen aus Osteuropa.,the migrant
die Migration,Gestern gab es im Fernsehen eine Diskussion zum Thema Migration.,the migration
die Milch,Stellst du bitte die Milch in den Kühlschrank?,the milk
mild,"1. Möchten Sie die Soße scharf? – Nein, bitte ganz mild.
2. Wie wird das Wetter? – Es soll etwas milder werden.",mild
"die Minderheit, -en",Frauen sind in unserer Firma in der Minderheit.,the minority
mindestens,"1. Ein guter Fernsehapparat kostet mindestens 500 Euro.
2. Bitte kommen Sie mindestens eine Stunde vor Abflug zum Flughafen.",at least
das Mineralwasser,Kann ich bitte ein Mineralwasser haben?,the mineral water
minimal,Da ist nur ein minimaler Unterschied.,minimal
"mischen, mischt, mischte, hat gemischt","1. Ich möchte ein gemischtes Eis mit Sahne.
2. Wie möchten Sie das Geld? – Bitte gemischt, große und kleine Scheine.",mix
miss-,"1. Die Konferenz war ein Misserfolg.
2. Das Misstrauen zwischen den beiden Parteien ist weiterhin groß.
3. Sie haben mich missverstanden.
4. Das ist ein Missverständnis. Das habe ich nicht gesagt.",mis-
mit,"1. Ich gehe heute Abend mit Maria aus.
2. Wir suchen eine Dreizimmerwohnung mit Küche und Bad.
3. Ich hätte gern einen Tee mit Zitrone.
4. Mit meiner Mutter sind wir acht Personen.
5. Ich bin mit dem Fahrrad gekommen.",with
"der Mitarbeiter, -
die Mitarbeiterin, -nen",Unsere Firma hat sieben Mitarbeiter.,the employee
miteinander,Sprechen Sie bitte miteinander.,each other
"das Mitglied, -er",Für Mitglieder ist der Eintritt zum Konzert gratis.,the member
die Mitte,"1. Wo möchten Sie sitzen? – In der Mitte.
2. Bis Mitte der Woche bin ich fertig.
3. Ich habe Urlaub bis Mitte August.
4. Den Schrank stellen wir ans Fenster, den Tisch in die Mitte.",the middle
"mitteilen, teilt mit, teilte mit, hat mitgeteilt",Den Prüfungstermin teilen wir Ihnen noch mit.,communicate
"das Mittel, -","1. Haben Sie ein Mittel gegen Magenschmerzen?
2. Der Arzt hat mir ein Mittel gegen Grippe verschrieben.
3. Das neue Waschmittel ist sehr gut.",the means
mitten,"1. Wir haben eine Wohnung mitten in der Stadt.
2. Das Flugzeug hatte Verspätung. Wir sind erst mitten in der Nacht angekommen.",middle
mittler-,In den mittleren Reihen sind noch Plätze frei.,medium
mittlerweile,Am Anfang war die Arbeit schwer. Mittlerweile habe ich mich daran gewöhnt.,in the meantime
"das Möbel, -",Wir haben uns neue Möbel gekauft.,the furniture
möbliert,Ich suche ein möbliertes Zimmer.,furnished
"möchten, möchte, mochte, hat gemocht","1. Möchtest du auch einen Kaffee?
2. Im Sommer möchten wir gern ans Meer fahren.",want
mobil/mobil-,Mit dem Fahrrad bin ich in der Stadt sehr mobil.,mobile/mobile
"die Mobilbox, -en",Ich habe zwei Nachrichten auf meiner Mobilbox.,the mobile box
"die Mobilität, -en",Sprachen zu lernen fördert die Mobilität.,the mobility
"das Mobiltelefon, -e",Wie kann ich Sie erreichen? Haben Sie ein Mobiltelefon?,the cell phone
"die Mode, -n","1. Wie findest du die neue Mode?
2. Welche Farbe ist denn jetzt gerade in Mode?",the fashion
"das Modell, -e",Wie findest du dieses Auto? – Dieses Modell gefällt mir nicht.,the model
modern,"1. Die Wohnung ist modern eingerichtet.
2. Das Stadtzentrum von Frankfurt ist ganz modern.",modern
"mögen, mag, mochte, hat gemocht","1. Ich mag keinen Reis.
2. Möchtest du noch ein Stück Kuchen?
3. Ich möchte gern Herrn Schmidt sprechen.
4. Herr Müller, Sie möchten bitte sofort zum Chef kommen.",like
möglich,Kann ich bitte sofort einen Termin haben? – Das ist leider nicht möglich.,possible
"die Möglichkeit, -en",Sie wollen ans Meer? Da gibt es mehrere Möglichkeiten.,the possibility
möglichst,"1. Sagen Sie mir bitte möglichst bald, ob Ihnen der Termin passt.
2. Wir suchen eine Wohnung, möglichst im Erdgeschoss.",possible
"die Möhre, -n (D)
→ Karotte; CH: Rüebli",Hasen fressen gern Möhren.,the carrot
"der Moment, -e","1. Warten Sie bitte einen Moment.
2. Einen Moment bitte.
3. Ich habe im Moment sehr viel zu tun.",the moment
"der Mond, -e",Bei Vollmond kann ich nicht schlafen.,the moon
"der Monitor, -e",Ich habe mir einen größeren Monitor gekauft. Das ist besser für meine Augen.,the monitor
"der Motor, -en",Der Motor ist kaputt. Das Auto fährt nicht mehr.,the engine
"das Motorrad, ¨-er",Oskar fährt jeden Tag mit dem Motorrad zur Arbeit.,the motorcycle
müde,Ich bin müde. Ich gehe schlafen.,tired
die Mühe,"1. Vielen Dank für Ihre Mühe.
2. Mit ein bisschen mehr Mühe können wir das schaffen.",the effort
der Müll,"1. Bringst du bitte noch den Müllsack raus?
2. Wir müssen den Müll trennen.",the garbage
die Müllabfuhr,Die Müllabfuhr kommt zweimal pro Woche.,the garbage disposal
"die Mülltonne, -n",Die Mülltonne ist voll.,the garbage can
"der Mund, ¨-er",Sie haben Halsschmerzen? Bitte machen Sie mal den Mund auf.,the mouth
mündlich,Die mündliche Prüfung ist erst nächste Woche.,oral
"die Münze, -n",Der Automat nimmt nur Münzen.,the coin
"das Museum, Museen",Wir waren mit unserer Klasse im Museum.,the museum
die Musik,"1. Wie findest du die Musik?
2. Spanische Musik mag ich sehr.
3. Was für Musik hörst du gern?",the music
musikalisch,"1. Sie ist sehr musikalisch: Sie spielt Klavier, Flöte und Geige.
2. Das musikalische Angebot gefällt mir.",musical
"der Musiker, -
die Musikerin, nen",Mein Bruder möchte Musiker werden.,the musician
"der Muskel, -n",Im Fitness-Studio trainieren wir unsere Muskeln.,the muscle
"das Müesli/Müsli, -",Zum Frühstück gibt es Müsli mit Obst.,the muesli/muesli
"müssen, muss, musste, hat gemusst (hat müssen als Modalverb)","1. Wie lange müssen Sie arbeiten?
2. Sie müssen die Miete pünktlich überweisen.
3. Ich muss jeden Tag von 8 bis 18 Uhr arbeiten.
4. Du musst mich nicht abholen. Nur wenn du willst.",must
der Mut,"Man braucht viel Mut, um in einem fremden Land ganz neu anzufangen.",the courage
mutig,"Es war sehr mutig von dir, deine Meinung laut zu sagen.",brave
"die Mutter, ¨-","1. Meine Mutter heißt Klara.
2. Dieser Raum ist für Mütter mit kleinen Kindern reserviert.",the mother
nach,"1. Ich fahre morgen nach Hamburg.
2. Ich muss jetzt nach Hause.
3. Wir treffen uns nach dem Essen.
4. Es ist schon nach acht. Wir müssen uns beeilen.",after
"der Nachbar, -n
die Nachbarin, nen",Meine neue Nachbarin ist sehr nett.,the neighbor
nachdem,"Nachdem wir gegessen hatten, sind wir spazieren gegangen.",after
"nachdenken, denkt nach, dachte nach, hat nachgedacht","Ich weiß nicht, was ich machen soll. Ich muss nachdenken.",ponder
"die Nachfrage, -n",Die Nachfrage für dieses Produkt ist groß.,the demand
nachher,Ich rufe nachher nochmal an.,afterward
"die Nachhilfe, -n",Der Schüler braucht Nachhilfe in Mathematik.,the tutoring
"die Nachricht, -en","1. Ich habe eine gute Nachricht für Sie. Sie haben die Prüfung bestanden.
2. Ich habe im Radio die Nachrichten gehört.
3. Im Moment bin ich nicht zu Hause. Aber Sie können eine Nachricht hinterlassen.",the message
"nachschlagen, schlägt nach, schlug nach, hat nachgeschlagen",Ich kenne das Wort nicht. Das musst du im Wörterbuch nachschlagen.,look up
"die Nachspeise, -n (D, A)
→ Dessert",Nach dem Essen gab es noch eine leckere Nachspeise,the dessert
nächst-,"1. Wo ist hier die nächste Apotheke?
2. Rufen Sie bitte nächste Woche noch einmal an.
3. Wann fährt der nächste Zug nach Frankfurt?
4. Wer ist der Nächste bitte?",next-
"der Nachteil, -e",Einen Nachteil hat die Wohnung. Sie liegt nicht zentral.,the disadvantage
der Nachwuchs,"1. Der Nachwuchs bei Forschern soll gefördert werden.
2. Die Katze hat Nachwuchs bekommen.",the offspring
"die Nadel, -n",Hast du eine Nadel für mich? Ich muss einen Knopf annähen.,the needle
"der Nagel, ¨-","1. Kannst du mir den Nagel in die Wand schlagen?
2. Ich muss mir die Fingernägel schneiden.",the nail
nah(e),"Wie weit ist es zum Bahnhof? – Das ist ganz nah, nur zwei Minuten von hier.",vicinity)
die Nähe,Die Post ist ganz in der Nähe vom Bahnhof.,the nearness
"nähen, näht, nähte, hat genäht","1. Meine Mutter näht ihre Kleider selbst.
2. Wir müssen die Wunde nähen.",sew
"sich nähern, nähert sich, näherte sich, hat sich genähert",Er nähert sich dem Unfallort ganz langsam.,approach
"das Nahrungsmittel, -",In diesen Ländern fehlen vor allem Nahrungsmittel.,the food
"der Name, -n","1. Wie ist Ihr Name?
2. An den Namen kann ich mich nicht mehr erinnern.",the name
"der Familienname, -n",Ludin ist mein Familienname.,the family name
"der Vorname, -n",Mein Vorname ist Thomas.,the first name
nämlich,Ich muss leider gehen. Ich habe nämlich noch einen Termin beim Zahnarzt.,namely
"die Nase, -n",Haben Sie Nasentropfen? Ich bin stark erkältet.,the nose
nass,"1. Es hat schrecklich geregnet. Ich bin ganz nass geworden.
2. Geh nicht mit den nassen Schuhen ins Wohnzimmer.",wet
national/national-,"1. Das ist ein nationaler Wettbewerb.
2. Die Nationalmannschaft ist ziemlich stark.",national/national-
die Natur,Ich bin gern draußen in der Natur.,the nature
natürlich,"1. Natürlich helfen wir dir.
2. Kommst du auch wirklich zu meiner Party? – Natürlich.",naturally
"der Nebel, -","1. Wegen Nebels konnten wir gestern nicht in Frankfurt landen.
2. Fahren Sie bei Nebel besonders vorsichtig!",the fog
neblig,Fahr vorsichtig! Es ist neblig.,foggy
neben,"1. Neben mir ist noch ein Platz frei.
2. Darf ich mich neben dich setzen?
3. Die Apotheke ist gleich links neben der Post.",next to
nebenan,"Das ist José, er wohnt nebenan.",next door
nebenbei,"1. Mein Freund studiert Geschichte. Und nebenbei arbeitet er in einer Kneipe.
2. Ich mache die Hausarbeit und nebenbei höre ich Radio.",alongside
"der Neffe, -n",Meine Schwester hat zwei Kinder. Meine Neffen sind drei und fünf Jahre alt.,the nephew
negativ,Du solltest nicht alles negativ sehen.,negative
"nehmen, nimmt, nahm, hat genommen","1. Was möchten Sie? – Ich nehme einen Salat.
2. Nehmen Sie die Tabletten vor dem Essen!
3. Wer hat die Flasche aus dem Kühlschrank genommen?
4. Sollen wir ein Taxi nehmen?
5. In diesem Jahr kann ich meinen Urlaub erst im Oktober nehmen.",take
nein,"1. Noch ein Bier? – Nein, danke.
2. Kommst du auch mit nach München? – Nein, ich habe keine Zeit.",no
"nennen, nennt, nannte, hat genannt","1. Mein Freund heißt Alexander, aber alle nennen ihn Alex.
2. Wie nennt man dieses Gerät?",to name
"der Nerv, -en","1. Er leidet an einer Nervenkrankheit.
2. Mach bitte das Radio aus. Die Musik geht mir auf die Nerven.",the nerve
nervös,"1. Das Warten macht mich ganz nervös.
2. Bei Prüfungen bin ich immer sehr nervös.",nervous
nett,"1. Die Leute sind hier sehr nett.
2. Ich habe viele nette Kollegen.
3. Vielen Dank! Das ist sehr nett von Ihnen.
4. Die Nachbarn waren sehr nett zu uns.",nice
"das Netz, -e","1. Bitte bring ein Netz Orangen.
2. Der Ball berührte das Netz.
3. Seid ihr schon ans Netz angeschlossen?",the network
"das Netzwerk, -e","1. Soziale Netzwerke sind wichtig.
2. Das Telefonnetzwerk wird ständig erweitert.",the network
neu,"1. Mein Wagen ist noch ganz neu.
2. Wir haben eine neue Wohnung.
3. Man darf hier nicht mehr rauchen? Das ist mir ganz neu.",new
"die Neuigkeit, -en",In dieser Sache gibt es keine Neuigkeiten.,the news
neugierig,Die Nachbarn sind ziemlich neugierig.,curious
neulich,Ich war neulich bei der Bank und habe einen alten Freund getroffen.,recently
nicht,"1. Zigarette? - Danke, ich rauche nicht.
2. Wie geht es dir? – Nicht so gut.
3. Das Essen in der Kantine ist gar nicht schlecht.
4. Du kommst immer zu spät! - Das stimmt nicht.",not
"die Nichte, -n",Die Tasche ist ein Geschenk von meiner Nichte.,the niece
"der Nichtraucher, -
die Nichtraucherin, -nen","1. In unserer Familie sind alle Nichtraucher.
2. Möchten Sie einen Tisch im Nichtraucherbereich?",the non-smoker
nichts,"1. Ich habe noch nichts gegessen.
2. Ich weiß auch nichts Genaues.
3. Ich habe nichts zum Schreiben dabei.
4. Entschuldigung! – Das macht nichts.",nothing
nie,"1. Der Chef ist nie da.
2. Warum bist du nie zufrieden?
3. Bis morgen Abend schaffe ich die Arbeit nie.
4. Ich gehe nie wieder in dieses Restaurant.",never
niedrig,"1. Die Räume hier sind mir zu niedrig.
2. Für die Jahreszeit sind die Temperaturen zu niedrig.
3. Die Firma zahlt sehr niedrige Löhne.",low
niemand,Ich habe geklingelt. Aber es war niemand zu Hause.,no one
nirgends,"1. Ich kann die Quittung nirgends finden.
2. Hier kann man nirgends parken.",nowhere
nirgendwo,Die Schlüssel kann ich nirgendwo finden.,nowhere
noch,"1. Mein Bruder geht noch zur Schule.
2. Bist du fertig. – Nein, noch nicht ganz.
3. Haben Sie noch einen Wunsch? – Ja, bitte noch ein Bier.
4. Sonst noch etwas? – Nein, danke.
5. Ich komme später. Ich muss erst noch einkaufen.
6. Meine Freundin studiert, und abends arbeitet sie noch als Kellnerin.
7. Es ist nicht mehr viel Zeit. Nur noch fünf Minuten.
8. Ich habe nur noch 20 Euro.
9. Ist das Essen schon fertig. – Nein, es dauert noch ein paar Minuten.
10. Ist Amadeo schon da? – Vielleicht kommt er noch.",still
noch mal,"1. Vielen Dank nochmal.
2. Bitte sagen Sie das nochmal.",again
nochmals,Nochmals vielen Dank!,again
normal,Fehler zu machen ist doch ganz normal.,normal
normalerweise,Wann haben Sie normalerweise Pause?,normally
"die Notaufnahme, -n",Die Notaufnahme ist gleich hier links.,the emergency room
"der Notausgang, ¨-e",Der Notausgang ist gleich hier bei der Treppe.,the emergency exit
"der Notfall, ¨-e","1. Wir haben einen Notfall. Bitte schicken Sie einen Krankenwagen.
2. Im Notfall rufen Sie bitte diese Nummer an.",the emergency
der Notruf,Der Notruf hat die Nummer 110.,the emergency call
"die Note, -n","1. Eva hat immer sehr gute Noten in Mathematik.
2. Meine Kinder lernen im Musikunterricht gerade Noten lesen.",the note
notieren,Ich habe mir den Termin notiert.,note down
nötig,"1. Wenn es nötig ist, nehmen Sie noch eine Tablette.
2. Kann ich Ihnen helfen? – Danke, nicht nötig.",necessary
"die Notiz, -en","1. Ich habe Ihnen eine Notiz geschrieben.
2. Hast du einen Notizzettel für mich?",the note
notwendig,"Muss ich nochmal wiederkommen? – Nein, das ist nicht notwendig.",necessary
"die Nudel, -n",Möchten Sie Nudeln oder Reis? – Lieber Nudeln.,the noodle
"die Nummer, -n","1. Ich habe mich in der Hausnummer geirrt.
2. Ich habe die falsche Nummer gewählt.
3. Der Wagen hatte eine Münchner Nummer.
4. Sie haben Zimmer Nummer zwölf.
5. Bitte geben Sie mir Ihre Kontonummer.
6. Haben Sie die Bluse eine Nummer kleiner?",the number
nun,"1. Schade, dass du arbeiten musst. – Das ist nun mal so.
2. Was ist jetzt? Kommst du nun endlich?",so
nur,"1. Im Kaufhaus gibt‘s T-Shirts für nur fünf Euro.
2. Ich habe keinen Hunger. Ich möchte nur etwas trinken.
3. Ich habe nur heute Abend Zeit.
4. Kannst du mir Geld leihen? Tut mir leid. Ich habe nur fünf Euro dabei.",only
"nutzen, nutzt, nutzte, hat genutzt",Ich möchte das schöne Wetter nutzen und spazieren gehen.,to use
"nützen, nützt, nützte, hat genützt",Ich habe jeden Tag eine Tablette genommen. Aber es hat nichts genützt.,benefit
nützlich,Danke für den Tipp. Das war sehr nützlich.,useful
ob,"Ich weiß noch nicht, ob ich kommen kann.",whether
oben,"1. Wir wohnen oben im 4. Stock.
2. Die Butter liegt im Kühlschrank ganz oben.",above
ober-,Die Wohnung im oberen Stockwerk ist vermietet.,upper
"der Ober, - (D, A)
→ Kellner; CH: Serviceangestellter",Ich bin Ober von Beruf.,the waiter
"das/der (Schlag-)Obers (A)
→ D: (Schlag-)Sahne; CH: (Schlag-)Rahm",Ich hätte gern ein Stück Torte mit (Schlag-)Obers.,"the (whipped) cream (A)
→ D: (whipped) cream; CH: (whipped) cream"
"das Obst (D, A)
→ CH: Früchte",Obst kaufe ich am liebsten auf dem Markt.,the fruit (D
obwohl,"Obwohl meine Kollegin krank ist, geht sie arbeiten.",although
oder,"1. Möchten Sie Kaffee oder Tee?
2. Entweder wir fahren mit dem Bus oder wir gehen zu Fuß.",or
"der (Back-)Ofen, ¨- (D, CH)
→ A: (Back-)Rohr",Ich habe gerade eine Pizza gemacht. Sie ist ganz frisch aus dem Ofen.,the (baking) oven
offen,"1. Komm rein. Die Haustür ist offen. (A) (D: auf)
2. Ich glaube, der Supermarkt ist jetzt noch offen.
3. Im Sommer schlafe ich immer bei offenem Fenster.
4. Ich habe mit meinem Kollegen ganz offen über mein Problem gesprochen.
5. Einzelne Fragen sind noch offen.",open
öffentlich,"1. In der Stadt fahre ich immer mit öffentlichen Verkehrsmitteln.
2. In öffentlichen Gebäuden darf man nicht rauchen.",public
die Öffentlichkeit,"1. Von solchen Dingen erfährt die Öffentlichkeit nur selten.
2. Ich möchte in der Öffentlichkeit nicht streiten.",the public
"veröffentlichen, veröffentlicht, veröffentlichte, hat veröffentlicht",Das Buch wurde gestern veröffentlicht.,publish
offenbar,Das Restaurant ist heute offenbar geschlossen.,apparently
offiziell,Sie bekommen von uns eine offizielle Einladung.,officially
"öffnen, öffnet, öffnete, hat geöffnet","1. Wann öffnen die Geschäfte?
2. Kannst du bitte das Fenster öffnen?
3. Kannst Du mir helfen? Ich kann die Dose nicht öffnen.
4. Du öffnest die Datei mit einem Doppelklick.
5. Der Laden ist samstags bis 16 Uhr geöffnet.",open
oft/öfter,"1. Ich treffe mich oft mit meiner Freundin.
2. In letzter Zeit muss ich öfter Überstunden machen.",often/more often
