German,English
zeigen,show
die Zeile,the line
die Zeit,the time
der Zeitpunkt,the timing
zurzeit,currently
die Zeitschrift,the magazine
die Zeitung,the newspaper
das Zelt,the tent
zelten,camping
zentral,central
das Zentrum,the center
zerstören,destroy
das Zertifikat,the certificate
der Zettel,the note
das Zeug/-zeug,the stuff/stuff
der Zeuge,the witness
das Zeugnis,the testimony
ziehen,pull
das Ziel,the goal
ziemlich,quite
die Zigarette,the cigarette
das Zimmer,the room
die Zinsen (nur Pl.),the interest (pl. only)
der Zirkus,the circus
die Zitrone,the lemon
"der Zivilstand (CH)
→ Personenstand; D","marital status (CH)
→ Civil status; D"
der Zoll,the customs
die Zone,the zone
der Zoo,the zoo
zu,to
zubereiten,prepare
der Zucker,the sugar
zuerst,first
der Zufall,the coincidence
zufällig,randomly
zufrieden,satisfied
der Zugang,the access
zugänglich,accessible
der Zug,the train
zugehen,approach
das Zuhause,the home
zuhören,listen
der Zuhörer,the listener
die Zukunft,the future
zukünftig,future
zuletzt,last
zumachen,close
zumindest,at least
zunächst,first
"die Zünder (A) (Pl.)
→ Streichholz; Zündholz","the detonators (A) (pl.)
→ match; match"
das Zündholz,the match
zunehmen,gain weight
zurechtkommen,cope
zurück/zurück-,back/back-
zurzeit,currently
zusagen,promise
zusammen/zusammen-,together/together-
die Zusammenarbeit,the collaboration
zusammenfassen,summarize
der Zusammenhang,the connection
zusätzlich,additionally
zuschauen,watch
der Zuschauer,the spectator
der Zuschlag,the surcharge
zu sein,to be
der Zustand,the condition
zuständig,responsible
zustimmen,agree
die Zustimmung,the consent
die Zutaten (Pl.),the ingredients (pl.)
zuverlässig,reliable
das/der Zvieri/Znüni,the snack/lunch
zwar,that is
der Zweck,the purpose
zweifeln,doubt
der Zweifel,the doubt
die Zwiebel,the onion
(sich) zwingen,force (oneself).
zwischen,between
